name,favorite_movie,second_favorite_movie,preferred_political_party,ideal_diet
Sherlock Holmes,Finding Nemo,Finding Nemo,right wing,balanced
Naruto,Forrest Gump,Forrest Gump,very right wing,plant-heavy
Beyonce,Lord of the Rings: The Fellowship of the Ring,Jurassic Park,very right wing,balanced
Luke Skywalker,Jurassic Park,The Dark Knight,very right wing,meat-heavy
Scarlett Johansson,Toy Story,Frozen,right wing,meat-heavy
Captain America,Titanic,The Godfather,left wing,fruit-heavy
Thor,The Matrix,Inception,very left wing,dairy-heavy
The Rock,Pulp Fiction,Avengers: Endgame,left wing,dairy-heavy
Beyonce,The Lion King,Shrek,very right wing,meat-heavy
Captain America,Jaws,Casablanca,very right wing,plant-heavy
Elsa,Blade Runner,Back to the Future,very left wing,fruit-heavy
Cinderella,Jaws,Gone with the Wind,right wing,meat-heavy
Katniss Everdeen,Psycho,Jaws,right wing,balanced
Wonder Woman,The Matrix,The Matrix,left wing,meat-heavy
Wonder Woman,The Matrix,Inception,very left wing,dairy-heavy
Luke Skywalker,Titanic,Forrest Gump,right wing,dairy-heavy
Simba,The Matrix,Inception,right wing,fruit-heavy
Luffy,Shrek,Finding Nemo,very right wing,meat-heavy
Beyonce,Avengers: Endgame,Lord of the Rings: The Fellowship of the Ring,left wing,fruit-heavy
Wonder Woman,Psycho,Citizen Kane,very right wing,plant-heavy
James Bond,Toy Story,Frozen,very left wing,plant-heavy
Jack Sparrow,Jurassic Park,Avengers: Endgame,left wing,balanced
Katniss Everdeen,Fight Club,Titanic,left wing,meat-heavy
Ash Ketchum,Finding Nemo,Finding Nemo,very left wing,meat-heavy
Cinderella,Blade Runner,Back to the Future,very left wing,fruit-heavy
The Rock,Back to the Future,Star Wars: Episode IV,very left wing,meat-heavy
Naruto,Fight Club,The Godfather,right wing,dairy-heavy
Sheldon Cooper,Casablanca,Jaws,very right wing,plant-heavy
Indiana Jones,Jaws,Psycho,very left wing,fruit-heavy
Bugs Bunny,Casablanca,Jaws,very right wing,balanced
Simba,Titanic,The Godfather,very right wing,plant-heavy
Taylor Swift,Psycho,Casablanca,left wing,meat-heavy
Leonardo DiCaprio,Fight Club,The Shawshank Redemption,right wing,plant-heavy
Tony Stark,Star Wars: Episode IV,Inception,right wing,fruit-heavy
Usain Bolt,Pulp Fiction,Pulp Fiction,left wing,meat-heavy
Leonardo DiCaprio,Inception,Inception,very left wing,plant-heavy
Bugs Bunny,Blade Runner,Back to the Future,very left wing,meat-heavy
Rihanna,Toy Story,Toy Story,very right wing,meat-heavy
Taylor Swift,The Shawshank Redemption,The Shawshank Redemption,very left wing,meat-heavy
Dexter Morgan,Avengers: Endgame,The Dark Knight,right wing,dairy-heavy
Naruto,Avengers: Endgame,Avengers: Endgame,very right wing,plant-heavy
Usain Bolt,Avengers: Endgame,Lord of the Rings: The Fellowship of the Ring,very right wing,dairy-heavy
Spider-Man,Inception,The Matrix,very right wing,fruit-heavy
Mickey Mouse,Jaws,Gone with the Wind,very left wing,fruit-heavy
Leonardo DiCaprio,Fight Club,The Shawshank Redemption,very right wing,plant-heavy
Cinderella,The Dark Knight,The Dark Knight,very right wing,balanced
Thor,Psycho,Citizen Kane,left wing,fruit-heavy
Marilyn Monroe,Shrek,Finding Nemo,very right wing,fruit-heavy
Ash Ketchum,Psycho,Citizen Kane,very right wing,balanced
Luke Skywalker,Star Wars: Episode IV,Star Wars: Episode IV,left wing,meat-heavy
